gvkey,gvkeyx,from,thru,conm,tic,co_conm,co_tic,co_cusip
023827,000003,20150702,20160705,S&P 500 Comp-Ltd,I0003,COLUMBIA PIPELINE GROUP INC,CPGX,198280109
005568,000003,20150703,,S&P 500 Comp-Ltd,I0003,KRAFT HEINZ CO,KHC,500754106
145977,000003,20150709,,S&P 500 Comp-Ltd,I0003,ADVANCE AUTO PARTS INC,AAP,00751Y106
024616,000003,20150720,,S&P 500 Comp-Ltd,I0003,PAYPAL HOLDINGS INC,PYPL,70450Y103
015520,000003,20150729,,S&P 500 Comp-Ltd,I0003,SIGNET JEWELERS LTD,SIG,G81276100
180405,000003,20150831,,S&P 500 Comp-Ltd,I0003,ACTIVISION BLIZZARD INC,ATVI,00507V109
010795,000003,20150903,,S&P 500 Comp-Ltd,I0003,UNITED CONTINENTAL HLDGS INC,UAL,910047109
012886,000003,20150921,,S&P 500 Comp-Ltd,I0003,TWENTY-FIRST CENTURY FOX INC,FOXA,90130A200
018043,000003,20150921,,S&P 500 Comp-Ltd,I0003,NEWS CORP,NWSA,65249B208
003226,000003,20150921,20151213,S&P 500 Comp-Ltd,I0003,COMCAST CORP,CMCSA,20030N200
180652,000003,20151008,,S&P 500 Comp-Ltd,I0003,VERISK ANALYTICS INC,VRSK,92345Y106
026156,000003,20151102,,S&P 500 Comp-Ltd,I0003,HEWLETT PACKARD ENTERPRISE,HPE,42824C109
026410,000003,20151110,20151110,S&P 500 Comp-Ltd,I0003,FOUR CORNERS PROPERTY TR INC,FCPT,35086T109
020686,000003,20151118,,S&P 500 Comp-Ltd,I0003,SYNCHRONY FINANCIAL,SYF,87165B103
138205,000003,20151119,,S&P 500 Comp-Ltd,I0003,ILLUMINA INC,ILMN,452327109
026304,000003,20151130,,S&P 500 Comp-Ltd,I0003,CSRA INC,CSRA,12650T104
003026,000003,20151229,,S&P 500 Comp-Ltd,I0003,CHURCH & DWIGHT INC,CHD,171340102
144009,000003,20160105,,S&P 500 Comp-Ltd,I0003,WILLIS TOWERS WATSON PLC,WLTW,G96629103
160479,000003,20160119,,S&P 500 Comp-Ltd,I0003,EXTRA SPACE STORAGE INC,EXR,30225T102
004605,000003,20160201,,S&P 500 Comp-Ltd,I0003,FEDERAL REALTY INVESTMENT TR,FRT,313747206
