Date,ShortVolume,ShortExemptVolume,TotalVolume
2016-09-30,17827.0,0.0,138322.0
2016-09-29,37271.0,0.0,55963.0
2016-09-28,129200.0,0.0,152603.0
2016-09-27,193154.0,5400.0,433741.0
2016-09-26,37382.0,0.0,115736.0
2016-09-23,256834.0,400.0,562806.0
2016-09-22,44799.0,0.0,149696.0
2016-09-21,278705.0,0.0,344658.0
2016-09-20,48487.0,0.0,82267.0
2016-09-19,18640.0,0.0,42033.0
2016-09-16,47727.0,100.0,66486.0
2016-09-15,47446.0,1300.0,86461.0
2016-09-14,500.0,0.0,110227.0
2016-09-13,29359.0,0.0,103347.0
2016-09-12,11232.0,0.0,23313.0
2016-09-09,53464.0,150.0,133810.0
2016-09-08,37939.0,0.0,206310.0
2016-09-07,122877.0,0.0,148936.0
2016-09-06,69685.0,400.0,132207.0
2016-09-02,77699.0,6702.0,223601.0
2016-09-01,229445.0,0.0,318351.0
2016-08-31,231580.0,0.0,981094.0
2016-08-30,93833.0,3000.0,239765.0
2016-08-29,81862.0,2100.0,195659.0
2016-08-26,76879.0,0.0,144614.0
2016-08-25,123361.0,200.0,202988.0
2016-08-24,186679.0,5815.0,263941.0
2016-08-23,63767.0,400.0,78232.0
2016-08-22,32748.0,0.0,72518.0
2016-08-19,12153.0,0.0,27785.0
2016-08-18,2887.0,1000.0,13500.0
2016-08-16,25906.0,300.0,55646.0
2016-08-15,18564.0,0.0,69488.0
2016-08-12,7810.0,0.0,31809.0
2016-08-11,43122.0,0.0,65907.0
2016-08-10,12827.0,0.0,42778.0
2016-08-09,96022.0,11900.0,230064.0
2016-08-08,19945.0,0.0,79737.0
2016-08-05,52952.0,1601.0,90898.0
2016-08-04,8470.0,0.0,22969.0
2016-08-03,14071.0,3600.0,43646.0
2016-08-02,15812.0,0.0,68499.0
2016-08-01,13570.0,0.0,55942.0
2016-07-29,18741.0,0.0,39655.0
2016-07-28,47163.0,4900.0,67924.0
2016-07-27,1322.0,0.0,20349.0
2016-07-26,8360.0,0.0,41912.0
2016-07-25,22652.0,0.0,47676.0
2016-07-22,971.0,0.0,34106.0
2016-07-21,42171.0,0.0,92740.0
2016-07-20,6687.0,0.0,48134.0
2016-07-19,55066.0,0.0,132197.0
2016-07-18,84439.0,0.0,141454.0
2016-07-15,58975.0,0.0,108004.0
2016-07-14,22988.0,0.0,100817.0
2016-07-13,38456.0,1900.0,106059.0
2016-07-12,63682.0,0.0,104909.0
2016-07-11,15000.0,0.0,61751.0
2016-07-08,37106.0,0.0,61196.0
2016-07-07,27013.0,0.0,120292.0
2016-07-06,38853.0,0.0,60011.0
2016-07-05,14084.0,0.0,48739.0
2016-07-01,77685.0,0.0,121176.0
2016-06-30,47707.0,0.0,80202.0
2016-06-29,42189.0,0.0,102394.0
2016-06-28,39294.0,0.0,74877.0
2016-06-27,47235.0,7680.0,73321.0
2016-06-24,353158.0,8750.0,500839.0
2016-06-23,260562.0,100.0,438745.0
2016-06-22,354581.0,0.0,767864.0
2016-06-21,35564.0,0.0,80786.0
2016-06-20,30377.0,0.0,52737.0
2016-06-17,264225.0,0.0,395350.0
2016-06-16,65925.0,0.0,490641.0
2016-06-15,33786.0,0.0,78783.0
2016-06-14,89460.0,0.0,173842.0
2016-06-13,67040.0,0.0,192588.0
2016-06-10,330231.0,0.0,439635.0
2016-06-09,190253.0,0.0,428922.0
2016-06-08,35232.0,0.0,159763.0
2016-06-07,32562.0,0.0,95446.0
